id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
1_Amatillo,1123.5066396278276,177.89833833763907,Amatillo,mala,no,no,si_acumula,si,tierra,adobe_clay,ninguno,no,2_to_6,mala,shared_none,owned,4,0,0,0,FALSE,TRUE,deterioradas,deterioradas,adobe,alum_cement,FALSE,49.982073790802765,3,0,0
2_Amatillo,1123.5129688883592,177.90864929409872,Amatillo,mala,no,afuera_casa,si_acumula,si,ladrillo,ninguno,directly_outside,si,7_or_more,mala,adentro_casa,owned,7,10,2,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,62.71364915395362,3,0,0
3_Amatillo,1123.5600530596796,177.9097343077457,Amatillo,mala,si,no,no_acumula,si,tierra,ninguno,adentro_casa,no,2_to_6,mala,adentro_casa,owned,5,11,2,1,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,49.984071367579695,2,1,1
4_Amatillo,1123.5199199595795,177.98270166863477,Amatillo,mala,no,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,si,7_or_more,mala,adentro_casa,rented,5,13,3,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,93.5948192399288,4,1,1
5_Amatillo,1123.5450835647964,178.00521115917687,Amatillo,buena,si,afuera_casa,no_acumula,si,ladrillo,ninguno,afuera_casa,si,7_or_more,buena,afuera_casa,owned,6,37,4,0,TRUE,FALSE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,115.38509511568516,4,0,0
7_Amatillo,1123.5879431787655,178.0410735293874,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,afuera_casa,si,7_or_more,mala,adentro_casa,owned,9,14,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,vegetal_clay,TRUE,153.83182101360953,4,0,0
8_Amatillo,1123.6312396480473,178.0354786972,Amatillo,mala,no,afuera_casa,si_acumula,si,tierra,ninguno,afuera_casa,si,7_or_more,mala,afuera_casa,owned,4,3,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,167.15878521958,4,0,0
8A_Amatillo,1123.6747180022646,178.01042167724975,Amatillo,buena,no,afuera_casa,no_acumula,si,tierra,ninguno,directly_outside,si,7_or_more,buena,adentro_casa,rented,4,18,0,0,FALSE,TRUE,deterioradas,deterioradas,adobe,alum_cement,FALSE,104.56910172181702,3,0,0
8B_Amatillo,1123.7066846971268,177.98859057905796,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,adentro_casa,si,2_to_6,mala,adentro_casa,rented,4,10,0,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,53.47789148593494,3,0,0
8D_Amatillo,1123.7572909363478,178.0175054730865,Amatillo,mala,no,no,si_acumula,si,tierra,ninguno,afuera_casa,si,2_to_6,mala,adentro_casa,rented,3,2,1,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,51.41466044377037,1,0,0
