m,n,act_pct,sel,thresh,init,alpha,village,pred,end_des
151,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0$,Amatillo,All,
115,170,0.03529411764705882,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.03529411764705882,,0.05,,$\alpha=0.3$,Amatillo,All,
118,170,0.041176470588235294,,0.05,,$\alpha=0.7$,Amatillo,All,
127,170,0.041176470588235294,,0.05,,$\alpha=1$,Amatillo,All,
136,170,0.03529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
148,170,0.0058823529411764705,,0.05,,Random,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.01764705882352941,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.01764705882352941,,0.05,,$\alpha=0.7$,Amatillo,All,
130,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.01764705882352941,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
115,170,0.03529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
115,170,0.03529411764705882,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.029411764705882353,,0.05,,$\alpha=0.7$,Amatillo,All,
127,170,0.041176470588235294,,0.05,,$\alpha=1$,Amatillo,All,
145,170,0.023529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
148,170,0.011764705882352941,,0.05,,Random,Amatillo,All,
112,170,0.029411764705882353,,0.05,,$\alpha=0$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.3$,Amatillo,All,
121,170,0.029411764705882353,,0.05,,$\alpha=0.7$,Amatillo,All,
127,170,0.041176470588235294,,0.05,,$\alpha=1$,Amatillo,All,
136,170,0.03529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
148,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.029411764705882353,,0.05,,$\alpha=0.7$,Amatillo,All,
133,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.03529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.029411764705882353,,0.05,,Random,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.029411764705882353,,0.05,,$\alpha=0.7$,Amatillo,All,
133,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.023529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
145,170,0.023529411764705882,,0.05,,Random,Amatillo,All,
118,170,0.029411764705882353,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
118,170,0.03529411764705882,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.03529411764705882,,0.05,,$\alpha=0.7$,Amatillo,All,
130,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.01764705882352941,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
121,170,0.023529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
121,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
121,170,0.03529411764705882,,0.05,,$\alpha=0.7$,Amatillo,All,
127,170,0.041176470588235294,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.023529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
112,170,0.023529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.15$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
118,170,0.03529411764705882,,0.05,,$\alpha=0.7$,Amatillo,All,
124,170,0.03529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
145,170,0.0058823529411764705,,0.05,,$\alpha=2$,Amatillo,All,
154,170,0.0058823529411764705,,0.05,,Random,Amatillo,All,
112,170,0.03529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
121,170,0.023529411764705882,,0.05,,$\alpha=0.7$,Amatillo,All,
130,170,0.029411764705882353,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.023529411764705882,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.01764705882352941,,0.05,,Random,Amatillo,All,
115,170,0.01764705882352941,,0.05,,$\alpha=0$,Amatillo,All,
112,170,0.029411764705882353,,0.05,,$\alpha=0.15$,Amatillo,All,
112,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
121,170,0.03529411764705882,,0.05,,$\alpha=0.7$,Amatillo,All,
130,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
142,170,0.011764705882352941,,0.05,,$\alpha=2$,Amatillo,All,
151,170,0.023529411764705882,,0.05,,Random,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0$,Amatillo,All,
118,170,0.023529411764705882,,0.05,,$\alpha=0.15$,Amatillo,All,
115,170,0.029411764705882353,,0.05,,$\alpha=0.3$,Amatillo,All,
124,170,0.01764705882352941,,0.05,,$\alpha=0.7$,Amatillo,All,
127,170,0.023529411764705882,,0.05,,$\alpha=1$,Amatillo,All,
139,170,0.01764705882352941,,0.05,,$\alpha=2$,Amatillo,All,
136,147,0,,0.05,,Random,Cerr\'on,All,
100,147,0.05442176870748299,,0.05,,$\alpha=0$,Cerr\'on,All,
103,147,0.047619047619047616,,0.05,,$\alpha=0.15$,Cerr\'on,All,
103,147,0.05442176870748299,,0.05,,$\alpha=0.3$,Cerr\'on,All,
115,147,0.027210884353741496,,0.05,,$\alpha=0.7$,Cerr\'on,All,
121,147,0.02040816326530612,,0.05,,$\alpha=1$,Cerr\'on,All,
127,147,0.027210884353741496,,0.05,,$\alpha=2$,Cerr\'on,All,
136,147,0.027210884353741496,,0.05,,Random,Cerr\'on,All,
97,147,0.061224489795918366,,0.05,,$\alpha=0$,Cerr\'on,All,
100,147,0.05442176870748299,,0.05,,$\alpha=0.15$,Cerr\'on,All,
103,147,0.05442176870748299,,0.05,,$\alpha=0.3$,Cerr\'on,All,
109,147,0.07482993197278912,,0.05,,$\alpha=0.7$,Cerr\'on,All,
115,147,0.061224489795918366,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.013605442176870748,,0.05,,$\alpha=2$,Cerr\'on,All,
136,147,0.034013605442176874,,0.05,,Random,Cerr\'on,All,
103,147,0.061224489795918366,,0.05,,$\alpha=0$,Cerr\'on,All,
103,147,0.061224489795918366,,0.05,,$\alpha=0.15$,Cerr\'on,All,
106,147,0.05442176870748299,,0.05,,$\alpha=0.3$,Cerr\'on,All,
115,147,0.05442176870748299,,0.05,,$\alpha=0.7$,Cerr\'on,All,
121,147,0.047619047619047616,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.013605442176870748,,0.05,,$\alpha=2$,Cerr\'on,All,
136,147,0.04081632653061224,,0.05,,Random,Cerr\'on,All,
103,147,0.05442176870748299,,0.05,,$\alpha=0$,Cerr\'on,All,
109,147,0.04081632653061224,,0.05,,$\alpha=0.15$,Cerr\'on,All,
106,147,0.047619047619047616,,0.05,,$\alpha=0.3$,Cerr\'on,All,
121,147,0.034013605442176874,,0.05,,$\alpha=0.7$,Cerr\'on,All,
121,147,0.04081632653061224,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.02040816326530612,,0.05,,$\alpha=2$,Cerr\'on,All,
133,147,0.05442176870748299,,0.05,,Random,Cerr\'on,All,
103,147,0.04081632653061224,,0.05,,$\alpha=0$,Cerr\'on,All,
100,147,0.047619047619047616,,0.05,,$\alpha=0.15$,Cerr\'on,All,
109,147,0.034013605442176874,,0.05,,$\alpha=0.3$,Cerr\'on,All,
118,147,0.034013605442176874,,0.05,,$\alpha=0.7$,Cerr\'on,All,
124,147,0.027210884353741496,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.013605442176870748,,0.05,,$\alpha=2$,Cerr\'on,All,
136,147,0.02040816326530612,,0.05,,Random,Cerr\'on,All,
97,147,0.061224489795918366,,0.05,,$\alpha=0$,Cerr\'on,All,
100,147,0.05442176870748299,,0.05,,$\alpha=0.15$,Cerr\'on,All,
103,147,0.05442176870748299,,0.05,,$\alpha=0.3$,Cerr\'on,All,
118,147,0.034013605442176874,,0.05,,$\alpha=0.7$,Cerr\'on,All,
124,147,0.02040816326530612,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.013605442176870748,,0.05,,$\alpha=2$,Cerr\'on,All,
133,147,0.04081632653061224,,0.05,,Random,Cerr\'on,All,
100,147,0.05442176870748299,,0.05,,$\alpha=0$,Cerr\'on,All,
103,147,0.047619047619047616,,0.05,,$\alpha=0.15$,Cerr\'on,All,
106,147,0.04081632653061224,,0.05,,$\alpha=0.3$,Cerr\'on,All,
121,147,0.02040816326530612,,0.05,,$\alpha=0.7$,Cerr\'on,All,
121,147,0.047619047619047616,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.013605442176870748,,0.05,,$\alpha=2$,Cerr\'on,All,
136,147,0.027210884353741496,,0.05,,Random,Cerr\'on,All,
106,147,0.047619047619047616,,0.05,,$\alpha=0$,Cerr\'on,All,
103,147,0.05442176870748299,,0.05,,$\alpha=0.15$,Cerr\'on,All,
103,147,0.06802721088435375,,0.05,,$\alpha=0.3$,Cerr\'on,All,
118,147,0.047619047619047616,,0.05,,$\alpha=0.7$,Cerr\'on,All,
121,147,0.034013605442176874,,0.05,,$\alpha=1$,Cerr\'on,All,
130,147,0.02040816326530612,,0.05,,$\alpha=2$,Cerr\'on,All,
133,147,0.047619047619047616,,0.05,,Random,Cerr\'on,All,
100,147,0.061224489795918366,,0.05,,$\alpha=0$,Cerr\'on,All,
100,147,0.06802721088435375,,0.05,,$\alpha=0.15$,Cerr\'on,All,
